Timestamp_ms,GyroX,GyroY,GyroZ,AccelX,AccelY,AccelZ
48088, -550, 298, 791, 156, -104, 14776
48098, -602, -22, 1049, -360, -228, 14876
48108, -361, -703, -128, -1392, -232, 15520
48118, -359, 381, 122, -1536, -76, 15032
48128, -336, 246, 113, -744, -284, 15228
48138, -356, 107, 162, -680, -164, 15208
48148, -353, 128, 107, -824, -244, 15292
48158, -345, 133, 119, -864, -200, 15180
48168, -339, 117, 133, -944, -212, 15136
48178, -353, 102, 114, -916, -148, 15176
48188, -349, 128, 129, -940, -236, 15156
48198, -324, 114, 121, -844, -236, 15312
48208, -350, 147, 138, -832, -136, 15200
48218, -347, 137, 108, -868, -188, 15112
48228, -311, 118, 131, -864, -128, 15040
48238, -335, 112, 114, -816, -188, 15204
48248, -351, 110, 125, -916, -176, 15316
48258, -368, 129, 125, -932, -196, 15252
48268, -361, 120, 146, -828, -156, 15120
48278, -357, 119, 124, -788, -228, 15236
48288, -346, 106, 122, -780, -336, 15280
48298, -353, 138, 132, -944, -240, 15188
48308, -347, 113, 122, -896, -236, 15208
48318, -328, 130, 116, -812, -256, 15152
48328, -323, 141, 123, -820, -208, 15096
48338, -356, 119, 129, -796, -232, 15228
48348, -333, 153, 130, -752, -268, 15228
48358, -343, 137, 132, -940, -232, 15224
48368, -331, 128, 138, -904, -184, 15204
48378, -343, 147, 133, -884, -248, 15128
48388, -358, 116, 134, -832, -196, 15032
48398, -346, 138, 138, -912, -164, 15224
48408, -340, 123, 119, -876, -156, 15328
48418, -339, 113, 139, -892, -168, 15212
48428, -336, 132, 123, -868, -264, 15088
48438, -363, 108, 115, -936, -164, 15236
48448, -350, 119, 140, -888, -144, 15264
48458, -340, 148, 125, -860, -200, 15244
48468, -354, 128, 132, -820, -304, 15076
48478, -338, 124, 131, -788, -172, 15208
48488, -349, 144, 141, -904, -228, 15208
48498, -313, 139, 126, -840, -252, 15164
48508, -345, 130, 132, -812, -228, 15100
48518, -346, 126, 122, -680, -248, 15156
48528, -351, 134, 138, -872, -220, 15260
48538, -340, 107, 145, -756, -228, 15240
48548, -334, 125, 122, -924, -288, 15328
48558, -331, 112, 136, -912, -184, 15136
48568, -334, 102, 139, -812, -180, 15116
48578, -360, 130, 108, -792, -220, 15136
48588, -337, 110, 149, -840, -152, 15276
48598, -350, 128, 136, -856, -216, 15172
48608, -340, 104, 143, -872, -160, 15180
48618, -366, 138, 125, -888, -224, 15128
48628, -346, 127, 133, -884, -220, 15144
48638, -355, 151, 130, -904, -300, 15208
48648, -342, 151, 99, -920, -144, 15148
48658, -339, 131, 109, -808, -144, 15112
48668, -343, 112, 134, -872, -188, 15284
48678, -337, 142, 116, -916, -216, 15292
48688, -359, 132, 121, -852, -280, 15216
48698, -336, 126, 150, -936, -256, 15060
48708, -332, 105, 136, -908, -172, 15112
48718, -341, 136, 136, -892, -192, 15156
48728, -333, 118, 148, -896, -108, 15324
48738, -327, 113, 134, -880, -216, 15280
48748, -336, 112, 114, -868, -124, 15136
48758, -344, 141, 114, -860, -184, 15288
48768, -358, 106, 157, -860, -224, 15184
48778, -331, 123, 119, -864, -200, 15160
48788, -353, 140, 140, -908, -232, 15136
48798, -348, 123, 112, -844, -168, 15268
48808, -336, 104, 165, -880, -68, 15196
48818, -332, 131, 135, -896, -200, 15232
48828, -346, 124, 131, -740, -192, 15160
48838, -350, 141, 143, -848, -204, 15272
48848, -354, 124, 121, -1012, -136, 15256
48858, -339, 117, 112, -864, -264, 15228
48868, -337, 149, 108, -796, -168, 15364
48878, -333, 113, 136, -800, -276, 15128
48888, -341, 129, 134, -860, -152, 15080
48898, -344, 120, 148, -816, -144, 15412
48908, -344, 118, 111, -772, -168, 15172
48918, -347, 128, 142, -860, -236, 15060
48928, -338, 135, 129, -836, -184, 15028
48938, -349, 135, 132, -860, -184, 15168
48948, -352, 134, 127, -880, -184, 15168
48958, -330, 110, 137, -912, -196, 15232
48968, -341, 115, 155, -828, -268, 15088
48978, -346, 108, 133, -876, -168, 15260
48988, -328, 102, 131, -884, -212, 15196
48998, -348, 131, 134, -824, -248, 15156
49008, -334, 118, 131, -868, -160, 15228
49018, -337, 143, 138, -808, -184, 15200
49028, -350, 136, 134, -992, -344, 15108
49038, -355, 127, 132, -868, -144, 15096
49048, -360, 110, 109, -856, -264, 15284
49058, -357, 127, 126, -920, -204, 15256
49068, -340, 151, 119, -880, -72, 15280
49078, -336, 116, 132, -852, -252, 15212
49088, -346, 124, 125, -860, -168, 15284
49098, -347, 117, 121, -776, -268, 15344
49108, -332, 110, 123, -944, -188, 15148
49118, -344, 119, 111, -828, -216, 15256
49128, -357, 135, 141, -816, -296, 15164
49138, -355, 114, 109, -848, -96, 15112
49148, -350, 117, 129, -932, -180, 15204
49158, -349, 107, 132, -908, -256, 15336
49168, -361, 130, 118, -776, -120, 15332
49178, -316, 116, 136, -960, -284, 15196
49188, -339, 122, 133, -808, -172, 15300
49198, -332, 126, 134, -888, -144, 15072
49208, -349, 141, 120, -888, -184, 15152
49218, -346, 127, 101, -856, -80, 14920
49228, -325, 135, 122, -860, -180, 15164
49238, -337, 120, 144, -856, -156, 15116
49248, -363, 148, 119, -900, -244, 15204
49258, -332, 127, 130, -904, -208, 15120
49268, -348, 127, 128, -876, -300, 15316
49278, -363, 124, 138, -904, -152, 15172
49288, -350, 103, 119, -816, -140, 15224
49298, -348, 115, 140, -932, -252, 15164
49308, -340, 131, 118, -916, -156, 15164
49318, -342, 141, 124, -880, -156, 15192
49358, -358, 129, 146, -888, -176, 15200
49368, -331, 110, 147, -848, -252, 15372
49378, -354, 118, 141, -796, -244, 15116
49388, -349, 133, 122, -840, -304, 15252
49398, -353, 136, 111, -784, -172, 15156
49408, -340, 120, 130, -936, -236, 15200
49418, -356, 135, 140, -856, -204, 15192
49428, -356, 148, 130, -732, -196, 15100
49438, -335, 126, 130, -840, -192, 15136
49448, -353, 131, 144, -916, -172, 15216
49458, -337, 113, 127, -804, -220, 15212
49468, -335, 143, 141, -932, -300, 15176
49478, -359, 147, 113, -772, -220, 15172
49488, -331, 94, 138, -868, -196, 15112
49498, -349, 143, 131, -868, -232, 15224
49508, -356, 130, 117, -836, -212, 15304
49518, -332, 129, 112, -804, -200, 15200
49528, -358, 121, 141, -892, -236, 15256
49538, -336, 127, 138, -888, -176, 15216
49548, -342, 128, 139, -856, -224, 15136
49558, -336, 140, 127, -828, -200, 15128
49568, -333, 123, 145, -876, -220, 15276
49578, -337, 132, 139, -980, -232, 15088
49588, -353, 129, 119, -828, -136, 15188
49598, -360, 128, 123, -876, -172, 15060
49608, -330, 130, 136, -896, -160, 15132
49618, -353, 135, 133, -868, -252, 15224
49628, -343, 92, 128, -752, -224, 15272
49638, -324, 128, 143, -920, -292, 15084
49648, -345, 117, 135, -924, -160, 15160
49658, -349, 122, 111, -892, -224, 15328
49668, -365, 128, 117, -852, -180, 15064
49678, -357, 136, 126, -872, -256, 15152
49688, -344, 133, 122, -920, -224, 15040
49698, -333, 118, 145, -784, -268, 15128
49708, -356, 113, 127, -880, -180, 15204
49718, -342, 128, 117, -860, -180, 15120
49728, -356, 134, 107, -920, -132, 15104
49738, -342, 130, 114, -852, -144, 15176
49748, -360, 134, 139, -812, -292, 15240
49758, -368, 121, 138, -836, -264, 15236
49768, -340, 125, 141, -812, -212, 15124
49778, -341, 114, 122, -948, -192, 15260
49788, -346, 122, 145, -892, -200, 15244
49798, -353, 154, 137, -792, -152, 15160
49808, -364, 132, 124, -804, -208, 15192
49818, -354, 129, 141, -876, -148, 15320
49828, -349, 128, 130, -828, -176, 15260
49838, -371, 107, 131, -792, -232, 15120
49848, -356, 125, 142, -932, -324, 15152
49858, -345, 122, 129, -884, -288, 15204
49868, -349, 138, 148, -768, -136, 15248
49878, -323, 116, 114, -820, -220, 15160
49888, -337, 126, 116, -936, -132, 15092
49898, -334, 130, 123, -848, -232, 15164
49908, -333, 115, 134, -884, -164, 15112
49918, -342, 117, 126, -872, -272, 15096
49928, -359, 125, 130, -920, -236, 15108
49938, -346, 135, 128, -828, -168, 15148
49948, -345, 115, 145, -944, -68, 15236
49958, -343, 139, 139, -844, -252, 15168
49968, -332, 131, 111, -804, -16, 15204
49978, -338, 122, 124, -772, -264, 15128
49988, -326, 143, 139, -908, -240, 15088
49998, -340, 132, 130, -792, -284, 15208
50008, -332, 119, 134, -840, -92, 15324
50018, -357, 134, 148, -904, -164, 15208
50028, -342, 104, 119, -884, -236, 15144
50038, -343, 127, 144, -896, -200, 15236
50048, -332, 134, 132, -856, -116, 15192
50058, -350, 144, 131, -944, -220, 15108
50068, -355, 110, 135, -860, -132, 15076
50078, -334, 123, 119, -792, -296, 15212
50088, -354, 121, 130, -772, -256, 15104
50098, -359, 125, 137, -760, -284, 15288
50108, -341, 128, 120, -812, -204, 15172
50118, -325, 145, 137, -864, -252, 15204
50128, -349, 110, 130, -880, -156, 15240
50138, -349, 147, 132, -776, -264, 15188
50148, -350, 89, 125, -896, -260, 15180
50158, -353, 123, 148, -816, -228, 15148
50168, -339, 141, 136, -848, -80, 15092
50178, -348, 111, 133, -904, -172, 15132
50188, -352, 132, 129, -948, -104, 15104
50198, -339, 139, 147, -936, -212, 15100
50208, -369, 119, 114, -832, -220, 15124
50218, -333, 115, 129, -912, -240, 15260
50228, -356, 136, 142, -968, -228, 15204
50238, -340, 118, 138, -868, -212, 15196
50248, -344, 101, 136, -756, -204, 15200
50258, -349, 138, 123, -868, -248, 15200
50268, -332, 127, 109, -896, -280, 15248
50278, -333, 122, 136, -812, -164, 15176
50288, -343, 147, 133, -836, -224, 14992
50298, -326, 129, 118, -780, -192, 15224
50308, -330, 110, 123, -780, -220, 15228
50318, -337, 116, 116, -780, -256, 15244
50328, -330, 136, 121, -820, -152, 15152
50338, -352, 113, 125, -840, -320, 15188
50348, -344, 125, 130, -980, -216, 15136
50358, -356, 118, 123, -844, -192, 15136
50368, -350, 124, 132, -892, -180, 15136
50378, -350, 125, 116, -856, -240, 15084
50388, -359, 116, 102, -888, -156, 15084
50398, -333, 117, 125, -880, -196, 15204
50408, -332, 130, 106, -808, -208, 15108
50418, -348, 128, 144, -872, -228, 15188
50428, -362, 119, 125, -956, -288, 15112
50438, -350, 106, 146, -868, -304, 15276
50448, -355, 141, 146, -904, -120, 15236
50458, -345, 124, 153, -884, -268, 15068
50468, -341, 132, 126, -880, -184, 15148
50478, -337, 129, 132, -772, -164, 15216
50488, -342, 105, 123, -880, -248, 15216
50498, -341, 130, 149, -864, -284, 15232
50508, -339, 117, 129, -944, -232, 15108
50518, -344, 110, 112, -916, -176, 15076
50528, -351, 125, 112, -936, -136, 15260
50538, -353, 143, 135, -912, -212, 15128
50548, -342, 127, 109, -872, -208, 15196
50558, -346, 126, 163, -804, -168, 15168
50568, -340, 130, 126, -768, -268, 15204
50578, -350, 103, 121, -896, -224, 15280
50588, -347, 125, 131, -788, -176, 15276
50598, -357, 117, 132, -764, -160, 15208
50608, -333, 122, 123, -756, -232, 15164
50618, -328, 122, 129, -868, -260, 15140
50628, -336, 139, 120, -948, -148, 15180
50638, -364, 117, 150, -804, -80, 15164
50648, -339, 139, 126, -876, -96, 15136
50658, -338, 124, 144, -856, -192, 15284
50668, -324, 130, 139, -904, -208, 15300
50678, -352, 145, 147, -912, -228, 15196
50688, -323, 141, 129, -1000, -248, 15172
50698, -342, 129, 141, -888, -136, 15176
50708, -342, 103, 142, -856, -152, 15148
50718, -333, 133, 129, -828, -200, 15144
50728, -338, 125, 117, -900, -216, 15232
50738, -348, 120, 115, -844, -228, 15180
50748, -340, 129, 144, -784, -204, 15084
50758, -340, 131, 123, -808, -260, 15208
50768, -357, 108, 127, -956, -180, 15108
